lng,lat,VCD,AOD,AMF
80.0,20.0,3.669,0.524,1.138
80.0,20.25,2.623,0.553,1.146
80.0,20.5,2.032,0.604,1.117
80.0,20.75,3.511,0.147,1.188
80.0,21.0,0.628,0.261,1.007
80.0,21.25,2.954,0.616,1.154
80.0,21.5,7.423,0.901,0.739
80.0,21.75,2.484,0.586,1.134
80.0,22.0,2.415,0.377,1.319
80.0,22.25,1.292,0.099,1.318
80.0,22.5,1.429,0.185,1.269
80.0,22.75,1.509,0.113,1.27
80.0,23.0,1.002,0.122,1.256
80.0,23.25,0.839,0.267,1.21
80.0,23.5,2.557,0.222,1.193
80.0,23.75,0.874,0.142,1.312
80.0,24.0,1.205,0.144,1.32
80.0,24.25,1.645,0.239,1.225
80.0,24.5,1.45,0.127,1.313
80.0,24.75,3.427,0.322,1.252
80.0,25.0,1.741,0.335,1.387
80.0,25.25,2.008,0.404,1.239
80.0,25.5,3.838,1.448,0.831
80.0,25.75,2.801,0.587,1.213
80.0,26.0,2.516,0.394,1.29
80.0,26.25,2.368,0.737,1.022
80.0,26.5,3.771,0.948,1.073
80.0,26.75,3.87,1.197,0.94
80.0,27.0,4.148,0.482,1.057
80.0,27.25,2.649,0.721,1.165
80.0,27.5,6.002,1.324,0.823
80.0,27.75,3.775,0.798,1.252
80.0,28.0,3.364,1.076,1.103
80.0,28.25,2.862,1.157,1.241
80.0,28.5,2.108,0.619,1.193
80.0,28.75,1.573,0.769,1.428
80.0,29.0,4.789,1.047,0.705
80.0,29.25,4.579,1.047,0.476
80.0,29.5,1.546,0.203,1.06
80.0,29.75,0.68,0.113,1.161
80.0,30.0,3.335,0.292,1.037
80.0,30.25,1.605,0.25,1.337
80.0,30.5,0.528,0.029,2.212
80.0,30.75,0.528,0.029,2.212
80.0,31.0,1.296,0.044,2.053
80.0,31.25,0.546,0.03,1.97
80.0,31.5,0.805,0.045,2.209
80.0,31.75,0.34,0.03,2.217
80.0,32.0,0.496,0.294,2.231
80.0,32.25,0.197,0.034,1.894
80.0,32.5,1.105,0.057,1.908
80.0,32.75,0.578,0.255,2.511
80.0,33.0,0.145,0.319,1.257
80.0,33.25,0.606,0.05,1.594
80.0,33.5,0.63,0.165,1.629
80.0,33.75,0.722,0.141,2.576
80.0,34.0,0.053,0.471,1.523
80.0,34.25,0.612,0.079,2.886
80.0,34.5,0.343,0.03,2.705
80.0,34.75,1.136,0.058,0.998
80.0,35.0,0.545,0.447,2.379
80.0,35.25,1.107,0.14,1.152
80.0,35.5,0.04,0.148,2.176
80.0,35.75,0.04,0.148,2.176
80.0,36.0,0.544,0.096,1.957
80.0,36.25,0.256,0.157,2.565
80.0,36.5,3.264,0.134,0.292
80.0,36.75,0.628,0.032,0.506
80.0,37.0,1.26,0.111,2.627
80.0,37.25,0.9,0.108,0.743
80.0,37.5,0.974,0.045,1.811
80.0,37.75,1.096,0.07,1.89
80.0,38.0,0.943,0.038,1.834
80.0,38.25,0.759,0.106,2.136
80.0,38.5,0.016,0.111,2.073
80.0,38.75,0.922,0.08,2.84
80.0,39.0,0.126,0.051,2.04
80.0,39.25,0.127,0.107,2.221
80.0,39.5,0.691,0.089,1.253
80.0,39.75,1.678,0.122,0.74
80.0,40.0,0.534,0.133,2.304
80.0,40.25,0.381,0.224,1.425
80.0,40.5,0.78,0.22,2.288
80.0,40.75,2.196,0.102,1.84
80.0,41.0,2.897,0.149,1.643
80.0,41.25,2.897,0.149,1.643
80.0,41.5,2.897,0.149,1.643
80.0,41.75,2.897,0.149,1.643
80.0,42.0,0.56,0.114,1.45
