lng,lat,vcd
80.0,20.0,1.797
80.0,20.25,1.921
80.0,20.5,4.322
80.0,20.75,2.209
80.0,21.0,3.192
80.0,21.25,1.415
80.0,21.5,2.888
80.0,21.75,2.1
80.0,22.0,0.093
80.0,22.25,1.903
80.0,22.5,2.643
80.0,22.75,1.59
80.0,23.0,2.289
80.0,23.25,4.108
80.0,23.5,2.761
80.0,23.75,1.704
80.0,24.0,1.111
80.0,24.25,1.25
80.0,24.5,2.339
80.0,24.75,1.747
80.0,25.0,2.754
80.0,25.25,2.981
80.0,25.5,1.521
80.0,25.75,2.807
80.0,26.0,2.057
80.0,26.25,3.402
80.0,26.5,3.513
80.0,26.75,2.564
80.0,27.0,4.421
80.0,27.25,3.41
80.0,27.5,2.693
80.0,27.75,7.609
80.0,28.0,4.27
80.0,28.25,3.907
80.0,28.5,3.228
80.0,28.75,1.323
80.0,29.0,1.804
80.0,29.25,0.309
80.0,29.5,1.768
80.0,29.75,2.349
80.0,30.0,1.68
80.0,30.25,1.01
80.0,30.5,1.054
80.0,30.75,1.03
80.0,31.0,1.224
80.0,31.25,1.719
80.0,31.5,0.617
80.0,31.75,0.571
80.0,32.0,0.357
80.0,32.25,0.307
80.0,32.5,0.567
80.0,32.75,0.771
80.0,33.0,0.057
80.0,33.25,1.033
80.0,33.5,0.294
80.0,33.75,0.261
80.0,34.0,1.32
80.0,34.25,0.815
80.0,34.5,0.091
80.0,34.75,0.267
80.0,35.0,0.263
80.0,35.25,0.389
80.0,35.5,0.041
80.0,35.75,0.001
80.0,36.0,0.736
80.0,36.25,0.764
80.0,36.5,0.279
80.0,36.75,1.248
80.0,37.0,3.794
80.0,37.25,2.525
80.0,37.5,0.948
80.0,37.75,0.693
80.0,38.0,0.003
80.0,38.25,0.406
80.0,38.5,0.787
80.0,38.75,0.769
80.0,39.0,0.079
80.0,39.25,1.414
80.0,39.5,0.473
80.0,39.75,0.822
80.0,40.0,2.283
80.0,40.25,1.358
80.0,40.5,1.818
80.0,40.75,2.129
80.0,41.0,2.389
80.0,41.25,1.823
80.0,41.5,0.704
80.0,41.75,1.095
80.0,42.0,1.095
80.0,42.25,0.713
80.0,42.5,0.677
80.0,42.75,0.524
80.0,43.0,0.524
80.0,43.25,0.402
80.0,43.5,3.542
80.0,43.75,1.782
80.0,44.0,1.953
80.0,44.25,2.053
80.0,44.5,2.053
80.0,44.75,0.296
80.0,45.0,0.296
80.0,45.25,0.372
80.0,45.5,3.841
80.0,45.75,3.841
80.0,46.0,5.266
80.0,46.25,0.889
80.0,46.5,0.785
80.0,46.75,1.348
80.0,47.0,1.823
80.0,47.25,5.193
80.0,47.5,3.801
80.0,47.75,4.17
80.0,48.0,4.17
80.0,48.25,0.412
80.0,48.5,0.42
80.0,48.75,0.42
80.0,49.0,0.115
80.0,49.25,0.19
80.0,49.5,0.19
80.0,49.75,0.293
80.0,50.0,0.293
80.0,50.25,0.585
80.0,50.5,0.49
80.0,50.75,0.412
80.0,51.0,0.213
80.0,51.25,3.054
80.0,51.5,3.054
80.0,51.75,0.555
80.0,52.0,12.328
80.0,52.25,1.008
80.0,52.5,1.656
80.0,52.75,2.604
80.0,53.0,3.893
80.0,53.25,3.893
80.0,53.5,3.893
80.0,53.75,3.893
80.0,54.0,3.893
80.25,20.0,0.822
80.25,20.25,0.198
80.25,20.5,1.839
80.25,20.75,2.729
80.25,21.0,1.657
80.25,21.25,2.425
80.25,21.5,2.537
80.25,21.75,0.22
80.25,22.0,2.284
80.25,22.25,1.692
80.25,22.5,1.196
80.25,22.75,0.973
80.25,23.0,1.23
80.25,23.25,1.047
80.25,23.5,2.354
80.25,23.75,0.118
80.25,24.0,1.536
80.25,24.25,2.01
80.25,24.5,3.056
80.25,24.75,2.714
80.25,25.0,2.103
80.25,25.25,2.014
80.25,25.5,3.542
80.25,25.75,3.202
80.25,26.0,3.025
80.25,26.25,3.899
80.25,26.5,4.444
80.25,26.75,3.45
80.25,27.0,3.49
80.25,27.25,3.833
80.25,27.5,2.287
80.25,27.75,3.346
80.25,28.0,2.948
80.25,28.25,2.399
80.25,28.5,2.457
80.25,28.75,1.908
80.25,29.0,0.919
80.25,29.25,1.36
80.25,29.5,2.285
80.25,29.75,0.341
80.25,30.0,0.782
80.25,30.25,1.843
80.25,30.5,0.473
80.25,30.75,1.124
80.25,31.0,0.851
80.25,31.25,1.13
80.25,31.5,0.036
80.25,31.75,0.149
80.25,32.0,0.953
80.25,32.25,1.2
80.25,32.5,1.115
80.25,32.75,0.077
80.25,33.0,0.228
80.25,33.25,0.084
80.25,33.5,0.13
80.25,33.75,0.494
80.25,34.0,0.058
80.25,34.25,0.998
80.25,34.5,0.409
80.25,34.75,1.297
80.25,35.0,1.491
80.25,35.25,0.452
80.25,35.5,0.389
80.25,35.75,0.099
80.25,36.0,0.607
80.25,36.25,0.03
80.25,36.5,1.79
80.25,36.75,1.459
80.25,37.0,1.399
80.25,37.25,1.682
80.25,37.5,0.84
80.25,37.75,1.406
80.25,38.0,0.81
80.25,38.25,1.341
80.25,38.5,0.422
80.25,38.75,0.889
80.25,39.0,1.154
80.25,39.25,1.686
80.25,39.5,0.804
80.25,39.75,0.934
80.25,40.0,1.241
80.25,40.25,0.497
80.25,40.5,1.017
80.25,40.75,1.033
80.25,41.0,2.208
80.25,41.25,5.161
80.25,41.5,0.259
80.25,41.75,0.715
80.25,42.0,0.715
80.25,42.25,0.713
80.25,42.5,0.713
80.25,42.75,0.211
80.25,43.0,1.033
80.25,43.25,1.002
80.25,43.5,1.535
80.25,43.75,0.339
80.25,44.0,4.15
80.25,44.25,0.745
80.25,44.5,14.2
80.25,44.75,14.2
80.25,45.0,0.39
80.25,45.25,0.31
80.25,45.5,1.173
80.25,45.75,0.484
80.25,46.0,2.838
80.25,46.25,1.349
80.25,46.5,1.508
80.25,46.75,1.397
80.25,47.0,0.375
80.25,47.25,0.554
80.25,47.5,1.04
80.25,47.75,0.114
80.25,48.0,0.015
80.25,48.25,0.373
80.25,48.5,0.52
80.25,48.75,0.172
80.25,49.0,0.228
80.25,49.25,0.322
80.25,49.5,0.001
80.25,49.75,0.001
80.25,50.0,0.293
80.25,50.25,0.585
80.25,50.5,1.068
80.25,50.75,1.139
80.25,51.0,0.213
80.25,51.25,1.398
80.25,51.5,0.715
80.25,51.75,6.915
80.25,52.0,12.328
80.25,52.25,0.782
80.25,52.5,1.008
80.25,52.75,6.55
80.25,53.0,3.893
80.25,53.25,3.893
80.25,53.5,3.893
80.25,53.75,3.893
80.25,54.0,3.893
80.5,20.0,3.223
80.5,20.25,0.972
80.5,20.5,1.824
80.5,20.75,2.086
80.5,21.0,1.636
80.5,21.25,1.293
80.5,21.5,1.215
80.5,21.75,1.511
80.5,22.0,0.477
80.5,22.25,1.441
80.5,22.5,1.237
80.5,22.75,2.449
80.5,23.0,1.407
80.5,23.25,2.767
80.5,23.5,2.199
80.5,23.75,3.677
80.5,24.0,3.178
80.5,24.25,2.371
80.5,24.5,2.411
80.5,24.75,2.618
80.5,25.0,0.586
80.5,25.25,1.336
80.5,25.5,1.723
80.5,25.75,2.169
80.5,26.0,2.572
80.5,26.25,1.842
80.5,26.5,4.455
80.5,26.75,2.058
80.5,27.0,4.253
80.5,27.25,3.191
80.5,27.5,3.89
80.5,27.75,2.793
80.5,28.0,2.439
80.5,28.25,1.6
80.5,28.5,1.709
80.5,28.75,1.564
80.5,29.0,1.215
80.5,29.25,1.112
80.5,29.5,0.38
80.5,29.75,0.452
80.5,30.0,0.686
80.5,30.25,1.001
80.5,30.5,0.466
80.5,30.75,0.109
80.5,31.0,0.693
80.5,31.25,0.436
80.5,31.5,0.159
80.5,31.75,0.71
80.5,32.0,0.377
80.5,32.25,0.644
80.5,32.5,1.235
80.5,32.75,1.303
80.5,33.0,0.443
80.5,33.25,1.323
80.5,33.5,0.203
80.5,33.75,1.326
80.5,34.0,0.938
80.5,34.25,0.091
80.5,34.5,0.002
80.5,34.75,0.945
80.5,35.0,1.491
80.5,35.25,0.452
80.5,35.5,0.291
80.5,35.75,0.427
80.5,36.0,0.158
80.5,36.25,0.495
80.5,36.5,0.662
80.5,36.75,0.003
80.5,37.0,1.244
80.5,37.25,1.314
80.5,37.5,0.634
80.5,37.75,1.582
80.5,38.0,1.751
80.5,38.25,0.774
80.5,38.5,0.932
80.5,38.75,0.298
80.5,39.0,1.109
80.5,39.25,2.153
80.5,39.5,0.453
80.5,39.75,1.05
80.5,40.0,0.987
80.5,40.25,0.587
80.5,40.5,0.998
80.5,40.75,1.361
80.5,41.0,1.194
80.5,41.25,2.725
80.5,41.5,1.631
80.5,41.75,1.356
80.5,42.0,1.356
80.5,42.25,0.506
80.5,42.5,0.506
80.5,42.75,0.049
80.5,43.0,0.624
80.5,43.25,0.704
80.5,43.5,1.178
80.5,43.75,1.304
80.5,44.0,4.7
80.5,44.25,4.514
80.5,44.5,1.625
80.5,44.75,1.165
80.5,45.0,2.006
80.5,45.25,0.282
80.5,45.5,0.282
80.5,45.75,1.978
80.5,46.0,2.885
80.5,46.25,1.715
80.5,46.5,0.36
80.5,46.75,3.125
80.5,47.0,0.496
80.5,47.25,0.099
80.5,47.5,0.416
80.5,47.75,0.114
80.5,48.0,0.904
80.5,48.25,0.417
80.5,48.5,5.318
80.5,48.75,3.629
80.5,49.0,0.162
80.5,49.25,0.085
80.5,49.5,0.799
80.5,49.75,0.427
80.5,50.0,0.178
80.5,50.25,0.178
80.5,50.5,2.771
80.5,50.75,2.388
80.5,51.0,1.733
80.5,51.25,0.525
80.5,51.5,0.901
80.5,51.75,1.246
80.5,52.0,2.328
80.5,52.25,0.782
80.5,52.5,0.782
80.5,52.75,6.55
80.5,53.0,6.55
80.5,53.25,3.893
80.5,53.5,3.893
80.5,53.75,3.893
80.5,54.0,3.893
80.75,20.0,1.187
80.75,20.25,2.364
80.75,20.5,1.415
80.75,20.75,1.513
80.75,21.0,2.607
80.75,21.25,0.953
80.75,21.5,0.397
80.75,21.75,1.291
80.75,22.0,1.986
80.75,22.25,0.503
80.75,22.5,2.059
80.75,22.75,1.924
80.75,23.0,2.458
80.75,23.25,1.106
80.75,23.5,2.028
80.75,23.75,2.261
80.75,24.0,3.246
80.75,24.25,2.083
80.75,24.5,4.447
80.75,24.75,1.777
80.75,25.0,1.876
80.75,25.25,1.783
80.75,25.5,1.696
80.75,25.75,4.601
80.75,26.0,3.506
80.75,26.25,3.072
80.75,26.5,3.132
80.75,26.75,2.656
80.75,27.0,2.8
80.75,27.25,2.436
80.75,27.5,3.113
80.75,27.75,2.201
80.75,28.0,3.692
80.75,28.25,1.314
80.75,28.5,2.535
80.75,28.75,1.462
80.75,29.0,0.027
80.75,29.25,0.516
80.75,29.5,0.982
80.75,29.75,0.97
80.75,30.0,0.919
80.75,30.25,0.723
80.75,30.5,1.315
80.75,30.75,1.06
80.75,31.0,0.332
80.75,31.25,0.923
80.75,31.5,0.925
